interactionId,agentName,duration_ID,duration_CS
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,1.27
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,2.025
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,1.706
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,3.924
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.848
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,6.384
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.076
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.607
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.906
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,1.306
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,9.642
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,2.407
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,2.424
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.492
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,9.643
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,9.743
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,9.144
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,1.565
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,1.284
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,2.545
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,5.605
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,1.883
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,6.643
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,3.284
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,1.306
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,9.642
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.173
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,2.545
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,3.804
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,8.483
